,"Active Status","Customer","Balance","Balance Total","Company","Mr./Ms./...","First Name","M.I.","Last Name","Primary Contact","Main Phone","Fax","Alt. Phone","Secondary Contact","Job Title","Main Email","Bill to 1","Bill to 2","Bill to 3","Bill to 4","Bill to 5","Ship to 1","Ship to 2","Ship to 3","Ship to 4","Ship to 5","Customer Type","Terms","Rep","Sales Tax Code","Tax item","Resale Num","Account No.","Credit Limit","Job Status","Job Type","Job Description","Start Date","Projected End","End Date"
,"Active","A & B Unfinished Furniture",0.00,0.00,"A & B Unfinished Furniture",,,,,,,,,,,,"A & B Unfinished Furniture","514 Elm Rd NE","Warren, OH 44483",,,"A & B Unfinished Furniture","514 Elm Rd NE","Warren, OH 44483",,,,,,"Non",,,,"",,,,,,
,"Active","A&J Woodworking",0.00,0.00,"A&J Woodworking",,,,,,,,,,,,"A&J Woodworking","12263 County Road 36","Goshen, IN 46528",,,"A&J Woodworking","12263 County Road 36","Goshen, IN 46528",,,,,,"Non",,,,"",,,,,,
,"Active","ABR Print",0.00,0.00,"ABR Print",,,,,,,,,,,,"ABR Print","3808 W Vernal Pike","Bloomington, IN 47404",,,"ABR Print","3808 W Vernal Pike","Bloomington, IN 47404",,,,,,"Non",,,,"",,,,,,
,"Active","Air Works",0.00,0.00,"Air Works",,,,,,,,,,,,"Air Works","5828 Fountain Nook Road","Apple Creek, OH 44606",,,"Air Works","5828 Fountain Nook Road","Apple Creek, OH 44606",,,,,,"Non",,,,"",,,,,,
,"Active","Alegacy Furniture",0.00,0.00,"Alegacy Furniture",,,,,,,,,,,,"Alegacy Furniture","Mike Newswanger","565 Forgedale Road","Barto, PA 19504",,"Alegacy Furniture","Mike Newswanger","565 Forgedale Road","Barto, PA 19504",,,,,"Non",,,,"",,,,,,
,"Active","Alpha Building Center",0.00,0.00,"Alpha Building Center",,,,,,,,,,,,"Alpha Building Center","Att: Dave","0855 N SR 5","Shipshewana, IN 46565",,"Alpha Building Center","Att: Dave","0855 N SR 5","Shipshewana, IN 46565",,,,,"Non",,,,"",,,,,,
,"Active","American Cigar Cabinets",0.00,0.00,"American Cigar Cabinets",,,,,,,,,,,,"American Cigar Cabinets","PO Box 844","Plymouth, IN 46563",,,"American Cigar Cabinets","PO Box 844","Plymouth, IN 46563",,,,,,"Non",,,,"",,,,,,
,"Active","American Eco Furniture LLC",600.00,600.00,"American Eco Furniture LLC",,,,,,,,,,,,"American Eco Furniture LLC","PO Box 82125","Athens, GA 30601",,,"American Eco Furniture LLC","PO Box 82125","Athens, GA 30601",,,,,,"Non",,,,"",,,,,,
,"Active","Ames Woodworking",0.00,0.00,"Ames Woodworking",,,,,,,,,,,,"Ames Woodworking","767 W Lexington Rd","Lititz, PA 17543",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Amish Avenue",0.00,0.00,"Amish Avenue",,,,,,,,,,,,"Amish Avenue","36393 Mills Road","North Ridgeville, OH 44039",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
